0,1,2,3,4,5,6,7,8,9,10
472,496,505,472,481,450,473,497,462,514,472
522,498,463,488,437,478,514,496,515,500,488
480,473,481,480,489,446,454,506,456,480,505
472,504,480,524,464,456,488,439,497,534,480
555,506,463,529,541,499,506,505,505,475,531
481,496,546,454,495,428,531,527,472,510,480
497,447,473,506,446,481,479,466,538,505,497
521,498,464,513,456,505,546,473,480,501,522
481,521,480,464,488,458,465,522,498,505,488
513,516,488,546,472,485,489,463,521,504,531
505,480,497,499,447,489,504,513,480,505,470
497,513,497,504,513,464,524,480,505,533,498
464,481,505,521,456,500,471,489,506,471,531
522,472,463,549,471,480,521,508,489,505,454
464,513,489,472,481,480,531,530,521,529,506
546,463,497,539,438,488,488,472,506,466,496
505,515,481,489,489,506,506,555,505,529,464
505,514,530,488,455,449,463,509,505,495,539
481,471,454,522,455,489,507,486,506,475,480
538,514,514,488,481,494,504,567,529,539,497
472,521,488,497,429,447,500,514,464,471,522
497,473,498,497,489,481,594,461,530,494,480
522,514,514,497,439,498,505,537,514,525,514
464,521,488,514,455,454,515,474,480,446,505
521,490,472,496,497,505,522,507,538,504,497
489,521,505,522,430,465,479,509,473,481,521
471,489,489,489,480,481,514,475,496,474,506
514,497,497,496,473,569,530,511,520,505,514
473,522,488,531,438,481,530,505,458,480,504
487,505,497,481,489,484,481,513,513,514,514
481,499,488,504,446,502,521,514,489,462,547
463,537,481,497,456,491,507,488,471,465,496
489,480,522,505,480,489,463,510,514,504,473
481,505,446,539,438,487,488,493,471,462,505
496,506,498,482,481,489,489,514,489,489,505
489,480,529,455,455,487,471,532,498,475,505
471,505,489,522,447,464,523,480,471,461,523
506,523,505,497,481,505,531,500,514,505,487
472,455,497,496,438,481,464,501,480,456,523
496,505,456,512,480,489,521,493,497,470,522
506,489,505,497,471,488,522,509,505,499,463
455,480,497,505,448,492,498,509,488,436,531
530,513,496,547,505,455,513,487,498,475,505
472,489,522,516,455,469,456,537,488,486,488
472,489,505,513,464,456,514,506,464,440,522
530,514,513,495,496,455,504,497,530,496,480
455,471,475,488,456,497,506,556,455,455,483
491,514,521,523,504,455,497,503,483,558,546
530,521,489,464,465,439,504,552,546,485,506
489,506,497,504,472,522,534,554,481,456,514
489,513,463,514,488,450,513,494,497,490,538
513,497,514,480,472,463,498,491,613,455,497
480,506,463,522,488,497,504,549,506,496,580
505,521,506,497,508,462,472,484,463,489,514
514,489,456,488,455,481,506,505,495,447,505
480,513,513,533,472,480,470,510,489,499,530
522,514,580,469,480,474,506,452,474,471,514
480,472,505,498,447,512,523,514,522,467,521
497,605,498,530,489,482,471,521,478,517,506
505,480,472,472,455,472,506,471,474,456,505
498,455,446,513,463,510,505,514,520,491,529
513,522,464,472,489,472,455,513,505,523,473
480,482,521,530,438,448,523,472,465,447,522
497,463,481,481,473,496,496,522,512,494,522
522,497,455,488,472,481,481,522,500,490,472
480,455,472,530,438,450,538,489,505,462,546
505,472,489,463,489,513,497,541,520,508,481
472,481,496,491,463,463,489,512,499,471,480
472,479,489,521,506,473,505,492,511,480,522
539,481,480,472,489,482,482,519,483,490,463
455,522,505,506,437,480,487,505,497,461,506
488,455,456,521,473,461,523,488,503,489,530
506,522,463,497,455,480,480,514,514,462,471
463,513,539,538,447,474,505,489,473,464,515
505,464,479,498,489,496,506,513,463,505,488
538,505,497,499,438,464,495,489,488,446,496
473,505,473,538,472,497,489,505,507,484,540
513,473,463,522,480,496,506,505,473,481,497
489,529,455,488,455,473,471,531,527,451,505
497,481,522,522,505,514,514,530,473,499,496
496,488,514,496,456,471,588,502,482,461,498
481,522,455,529,472,498,489,500,486,465,530
522,488,513,506,488,521,514,500,475,515,487
480,498,473,473,455,470,521,544,513,455,507
497,496,471,529,488,516,489,497,471,515,505
496,498,498,530,481,503,480,517,465,485,480
465,504,488,497,456,473,489,535,511,475,531
522,488,480,497,504,531,521,497,464,497,462
488,498,514,497,447,506,472,533,523,469,498
